ID;Straßenname;Schlüssel;Stadtteil;Suchgitter;Beginn_der_Straße;Ende_der_Straße;Umbenannt_in;Erloschen_am;Historisches;Bemerkungen;Beschlussdatum;Gremium;Quelle;Vormals;Erloschen;Beschlussdatum_bis
138;Bärlochweg;4668;Friedrichsfeld;R,69;Schwabenstraße;[Feldweg];;;;Auf dem Stadtplan von 1994 nachweisbar, nicht auf dem Stadtplan von 1955.;;;Straßennamenkartei FB 62;;Nein;
139;Bahamastraße;5125;Käfertal;K,66;[Wendekreis];[Bundesstraße / keine Durchfahrt];;;"Bahamas (engl.: The Bahamas) sind eine Inselgruppe im Nordatlantik, südöstlich von Florida und nördlich von Kuba. Sie bilden den gleichnamigen Inselstaat, der zum ""Commonwealth of Nations"" gehört.
Die Bahamas wurden 1492 von Christoph Kolumbus für die Europäer entdeckt. Die Ureinwohner, das Arawakvolk der Lucayans, beschrieb er als friedlich. Binnen zwei Jahrzehnten wurden diese von den spanischen Eroberern jedoch versklavt, vertrieben und getötet. 
Die spanischen Eroberer tauften die von seichtem Gewässer umgebenen Traum-Eilande ""Baja-Mar"". Übersetzt heißt das ""flaches Meer"". Und aus Bajar Mar wurde mir der Zeit ""Bahamas"".
1834 wurde die Sklaverei abgeschafft. Am 10. Juli 1973 erfolgte die Unabhängigkeit von Großbritannien.";Verlauf links und rechts der Columbusstraße. Straße auf dem Wohngebiet der amerikanischen Streitkräfte.;01-01-31;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-31
141;Bahnhofplatz;1735;Innenstadt;O, 61;[Hauptbahnhof];Bismarckstraße;Willy-Brandt-Platz;01-01-25;Auf dem Stadtplan von 1895 zunächst Bahnhofsvorplatz genannt, erscheint der Platz  in den Stadtplänen ab 1920 unter der Bezeichnung Bahnhofsplatz.;"Umbenennung in ""Willy-Brandt-Platz"" am 20.12.1994 und 25.07.1995 durch Gemeinderatsbeschluß.";;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921).;;Ja;01-01-20
156;Beim Glockacker;8328;Seckenheim;Q,68;Meersburger Straße;Im oberen Falltor;;;Gewann;;01-01-27;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-27
178;Birnbaumstraße;2365;Sandhofen;F/G,60;Domstiftstraße;Bartholomäusstraße;;;Nach dem Gewann Birnbauäcker;"Umbenennung in ""Birnbaumstraße"" im Zuge der Eingemeindung";;Stadtrat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) / Sandhofen-Serie 1990 / Atlanten 1-18 FB 62;Maxstraße;Nein;
182;Bismarckstraße;7;Innenstadt;N/O,61;Parkring;Kaiserring;;;"Otto Eduard Leopold Fürst von Bismarck (1815 - 1898), preußischer Staatsmann.  Gründer und erster Reichskanzler des zweiten Deutschen Kaiserreiches sowie preußischer Ministerpräsident (1862-1890) .
Neunzehn Jahre (1871-1890) war Bismarck als Reichskanzler maßgeblich für die deutsche Politik verantwortlich. 
Oberstes Ziel seiner verzweigten Außen- und Bündnispolitik war die Sicherung der  territorialen und machtpolitischen Stellung des neugegründeten Deutschen Kaiserreiches von 1871.";Auf dem Stadtplan von 1907  (Walter, Mannheim in Vergangenheit und Gegenwart) nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) / Straßenbenennung Bd. 1 FB 62;;Nein;
189;Blumenstraße;7465;Neckarau;R,63;Maxstraße;Schmiedgasse;;;;Im Adressbuch von 1929 nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
191;Bodelschwinghweg;3472;Waldhof;H,63;Oberlinweg;Kirchwaldstraße;;;"Friedrich von Bodelschwingh (1831 - 1910), evangelischer Theologe.
Er gründete 1872 die bekannte Anstalt Bethel bei Bielefeld.
Von Bodelschwingh studierte in Basel Theologie und ging nach seinem Anschlußexamen als Hilfsprediger an die deutsche Kirche in Paris. 1872 begann er als Pastor und Leiter einer kleinen Diakonieanstalt sowie eines Pflegeheims für Epileptiker in Bethel bei Bielefeld zu wirken. Diese Anstalt erweiterte er und schloß ihr andere Wohlfahrtseinrichtungen an, so dass sich die ""Bodelschwinghschen Anstalten"" unter seiner Leitung zum größten Hilfswerk der deutschen Inneren Mission entfalteten.";;01-01-25;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-25
232;C 1 - C 8;;Innenstadt;N,60/61;;;;;;;;;;;Nein;
246;Casterfeldstraße;7495;Neckarau;R/S,63-65;Friedrichstraße;Karlsplatz;;;Flurbezeichnung;Umbenennung im Zuge der Eingemeindung am 1.1.1913;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) / Atlanten 1-18 FB 62;Mannheimer Straße;Nein;
281;Dessauer Weg;5685;Vogelstang;L,66;Sachsenstraße;[Wendeplatte];;;"Taufbezirk nach ostdeutschen Städten der ehemaligen DDR.
Dessau, freie Kreisstadt in Sachsen-Anhalt.
Dessau entwickelte sich  von einer sorbischen Siedlung im 7. Jahrundert zu einem Marktflecken Anfang des 13. Jahrhunderts. Seit dem Jahre 1603 war der Ort ständige Residenz der Fürsten, dann Aufenthaltsort der Herzöge von Anhalt-Dessau. Im Zeitraum von 1863-1945  war Dessau Hauptstadt des vereinigten Landes Anhalt.";;01-01-19;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-19
296;Donarstraße;3691;Gartenstadt;H,63;Waldpforte;Langer Schlag;;;"Donar ( Donner, Thunar, Thor), altgermanische Gottheit. 
Neben Wotan (Odin) der bedeutendste germanische Gott, aus dem Geschlecht der Asen. Donar war der Herr des Donners; im Blitz sah das Volk den zur Erde geschleuderten Hammer. Durch körperliche Kraft ausgezeichnet, fiel ihm die Aufgabe zu, die Welt der Götter und der Menschen gegen Riesen und Ungeheuer zu verteidigen. Donar weihte die Ehen und bewirkte durch seinen Hammer Fruchtbarkeit. Ihm war die Eiche heilig und der Donnerstag (Donarstag) geweiht.";Im Adressbuch von 1941/42 nachweisbar, nicht im Adressbuch von 1929.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
300;Dorfgärtenstraße;7022;Neckarau;R,62;Germaniastraße;Wingertstraße;;;;Ausbau durch Bürgerauschußbeschluß vom 8.1.1901;;;Mayher / Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
309;Dresdener Straße;5691;Vogelstang;K/L,67;Sachsenstraße;[Stichstraße];;;"Taufbezirk nach ostdeutschen Städten der ehemaligen DDR.
Dresden, Landeshauptstadt von Sachsen, an der Elbe. 
In dem 1004 genannten slawischen Gau ""Nisani"", der 1144 an die wettische Mark Meißen kam, erbauten die Markgrafen vor 1200 in der Nähe einer sorbischen Siedlung eine Burg. Südlich der Burg entstand ein Marktflecken, aus dem sich eine Stadt entwickelte (1216 erstmals erwähnt). 1485 wurde Dresden der ständige Regierungssitz der albertinischen Landsherren von Meißen-Sachsen, und seit 1547 Hauptstadt des Kurfürstentums Sachsen. Im 17. und 18. Jahrhundert entwickelte sich die Stadt unter der Regierung Johann Georgs II., Augusts des Starken, und unter August III. zu einer prunkvollen barocken Residenzstadt. Diese wurde jedoch durch alliierte Bombenangriffe 1945 fast vollständig zerstört. Der Name Dresden geht auf eine slawische Bezeichnung für die dortigen Siedler zurück (""Sumpfwaldleute"").";"Sichstraße führt zum ""Freiberger Ring""";01-01-19;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-19
310;Drosselstraße;3351;Waldhof;K,62;Hafenbahnstraße;Hanns Martin Schleyer Straße;;;Taufbezirk mit Vogelnamen;Im Adressbuch von 1929 nachweisbar;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
315;Dürerstraße;4125;Neuostheim;O,64/65;Seckenheimer Landstraße;Paul Martin Ufer;;;"Taufbezirk nach Malern.
Albrecht Dürer (1471 - 1528), Nürnberger Maler, Graphiker und Kunstschriftsteller.
Dürer lernte zunächst bei seinem Vater, einem Goldschmied, und war dann nach Lehrjahren am Oberrhein (1490-1494), in Italien (1494-1495 und 1505-1507) sowie in den Niederlanden (1520/21) auf Wanderschaft. 
Die in der Spätgotik wurzelnde Kunst Dürers ging aus der Überlieferung des mittelalterlichen Handwerks hervor. Zugleich war er aber auch der erste deutsche Künstler, der mit wachsender Bewußtheit der Renaissance die Grenzen des Handwerks überschritt, indem er eine Erneuerung der Kunst durch die theoretische Erkenntnis ihrer Formgesetze anstrebte. Die Vielfalt seines Schaffens wurde durch gegensätzliche Kräfte bestimmt. So sind die apokalyptische Stimmung seiner Zeit und der spätgotische Stil am deutlichsten in seinen ausdrucksstarken Holzschnitten zur Offenbahrung des Johannes (1498) erkennbar, seine Auseinandersetzung mit der südlichen Formenklarheit der Renaissance besonders in seinem Adam-und Eva-Stich (1504), der zugleich als das reifste Ergebnis seiner theoretischen Bemühungen um die vollkommene Darstellung menschlicher Proportionen gelten darf. 
Dürers Wirklichkeitssinn spiegelt sich besonders in seinen Portraits zeitgenössischer Prominenz (Kaiser Maximilian I. 1519). Seine Landschaftsaquarelle sind die ersten in sich geschlossenen Darstellungen der Natur der mittelalterlich-neuzeitlichen Kunst. Auch die Kleinwelt der Pflanzen und Tiere (Feldhase) hat er mit liebevoller Sachtreue verewigt. Dürers Ruhm drang schon zu seinen Lebzeiten weit über die Grenzen Deutschlands hinaus. Er wurde durch seine Holzschnitte und Kupferstiche begründet, in denen seine Kunst, die sich vor allem durch die Linienführung definierte, eine hohe Ausdruckskraft und Formvollendung erlangte. 
Wegen der nachhaltig stilbildenden Kraft, die seine Graphik ausübte, wurde für dieses Zeitalter der kunsthistorische Begriff ""Dürerzeit"" geprägt.";Auf dem Stadtplan von 1919 nachweisbar, nicht auf dem Stadtplan von 1907 (Walter, Geschichte Mannheims).;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
316;Dürkheimer Straße;5335;Käfertal;L,64;Neustadter Straße;Völklinger Straße;;;"Taufbezirk nach Weinbauorten in der Pfalz. 
Bad Dürkheim, Kreisstadt im Regierungsbezirk Rheinhessen-Pfalz, Rheinland-Pfalz, am Haardrand.  
Bad Dürkheim wurde 1035 von Kaiser Konrad II. dem benachbarten salischen Familienkloster geschenkt und gehörte später zur Grafschaft Leiningen-Hardenburg. 1360 wurde Dürkheim erstmals als Stadt erwähnt. 1725-1794 Residenz der Grafen (seit 1779 Fürsten) von Leiningen und 1816-1946 bei Bayern. Seit  1847 Solbad, erhielt die Stadt 1905 den Zusatz ""Bad"".";;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
317;Düsseldorfer Straße;8045;Rheinau;U,65/66;Rhenaniastraße;Wittener Straße;;;"Taufbezirk nach niederrheinischen Industrie- und Handelsplätzen. Die Städte erinnern an die regen Handelsverbindungen mit Mannheim.
Düsseldorf, Landeshauptstadt  von Nordrhein-Westfalen, am Rhein. Düsseldorf erhielt 1288 das Stadtrecht und war vom 15. bis ins 18. Jahrhundert hinein zunächst Residenz der Grafen von Berg und später der Pfalzgraf von Pfalz- Neuberg. Seine Blütezeit erlebte Düsseldorf unter der Regentschaft Kurfürst Johanns Wilhelm von der Pfalz (1679-1716). 1806 wurde Düsseldorf Haupstadt des napoleonischen Großherzogtums Berg. Im Jahre 1815 kam es im Zuge der territorialen Umverteilungen des Wiener Kongresses zu Preußen. 
Der Stadtname ist von dem altgermanischen Wort ""Düssel"" abgeleitet, was ""rauschendes Waser"" bedeutet.";Umbenennung im Zuge der Eingemeindung am 01.01.1913.;;;;Mittelstraße;Nein;
332;Eichelbergstraße;6685;Lindenhof;Q,61/62;Heiligenbergstraße;Königstuhlstraße;;;"Taufbezirk nach Bergen.
Eichelberg, Berg bei Schriesheim im Odenwald. Siehe u.a. Feldbergstraße oder Trommstraße.";Im Erweiterungsgebiet des Lindenhofs bei der Meerfeldstraße gab es zuvor eine Eichelbergstraße, die auf dem Stadtplan von 1919 nachweisbar ist und infolge einer Änderung der Planlegung laut Stadtratbeschluss vom 18. 5. 1926 aufgehoben wurde.;01-01-21;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-21
353;Elisabeth-Bergner-Weg;8322;Käfertal;L,65;Ida Demel Ring;[Feldweg / Ortsrand];;;"Taufbezirk nach berühmten Frauen und Frauenrechtlerinnen.
Elisabeth Bergner (1897-1986), Schauspielerin und Schillerpreisträgerin.
Bergner war eine bedeutende Schauspielerin der ""Goldenen Zwanziger"". Nach ihrer Ausbildung in Wien und  ihrem Debüt in Innsbruck ging sie 1921 an das Deutsche Theater in Berlin. Erfolge feierte sie u.a. mit Strindbergs ""Königin Christine"", in Bernard Shaws ""Heiliger Johanna"", als ""Fräulein Julie"", als Puck im ""Sommernachtstraum"", als Rosalinde in ""Wie es euch gefällt"", als Porzia im ""Kaufmann von Venedig"" und als Titelheldin in ""Romeo und Julia"". Neben dem Theater war sie auch in der Filmbranche mit ""Nju"", ""Ariane"" und ""Der träumende Mund"" sehr erfolgreich.
Die Jüdin emigrierte 1933 nach London. Die britischen Zeitungen kommentierten dies mit ""Deutschlands Verlust ist Englands Gewinn"". Nach dem Ausbruch des Zweiten Weltkriegs ging sie in die USA. Neben zahlreichen Filmrollen eroberte sie das amerikanische Theater mit der Doppelrolle in ""Die beiden Mrs. Carrolls"". Neben ihrer Europatournee (1949) stand sie 1954/55 wieder auf der deutschen Bühne.
Als ""eine der modernsten deutschen Schauspielerinnen"" und ""symbolhafte Exponentin des psychologischen Theaters"" wurde sie 1962 mit dem Schillerpreis der Stadt Mannheim und ein Jahr später mit dem Deutschen Filmpreis ausgezeichnet. Mit 72 Jahren debütierte sie in Berlin als Regisseurin. Sie selbst schrieb über sich: ""Ich war eine berühmte Kuh geworden. Muh, Muh!"".";Gemeinderatsbeschluss 09.05.1994;01-01-26;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-26
355;Elisabethstraße;1441;Oststadt;N,62;Friedrichsplatz;Werderplatz;;;"Elisabeth Charlotte (""Liselotte von der Pfalz"", 1652-1722), Pfalzgräfin und  Herzogin von Orleans. Die Tochter des pfälzischen Kurfürsten Karl Ludwig heiratete  1671  Herzog Philipp I. von Orléans, Bruder Ludwigs XIV. , mit dem sie eine unglückliche Ehe führte. Am französischen Hof bewahrte sie ihr urwüchsiges und natürliches Wesen, das sich besonders in ihren Briefen ausdrückt. Ihre Erbansprüche beim Tod ihres Bruders, des Kurfürsten Karl (1685), boten Ludwig XIV.(""Sonnenkönig"") den Anlass zum Pfälzischen Erbfolgekrieg (1688-97). Ihre Briefe sind ein wichtiges Zeugnis über das Leben am französischen Hof.
siehe ""Charlottenplatz""";;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
366;Erbacher Straße;4025;Waldhof;J,63;Marburger Straße;Fiedberger Straße;;;"Taufbezirk nach Städten.
Erbach (Elfenbeinstadt), Kreisstadt des Odenwaldkreises Hessen, an der Mümling. 
Erbach entstand bei einer um 1200 angelegten Burg der Schenken (adliges Hofamt) von Erbach und bekam 1321das Stadtrecht. Im Zuge der territorialen Umverteilung Napoleons kam Erbach 1806 an Hessen-Darnstadt. Franz I., letzter Reichsgraf von Erbach (1754 - 1823) führte im Jahre 1783 die Elfenbeinschnitzerei (Elfenbeinmuseum) ein.";Im Adressbuch von 1929 nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
370;Ernst-Barlach-Allee;8353;Neuhermsheim;P,64;Hermsheimer Straße;Gustav-Seitz-Straße;;;"Ernst Barlach (1870-1938), Bildhauer, Graphiker und Schriftsteller. 
Barlach schuf in wichtigen, abstrahierend einfachen Formen vorwiegend Holzbildnisse, daneben aber auch Lithographien und Holzschnitte. Seine Arbeit ""Singender Mann"" ist in der Kunsthalle ausgestellt. Berühmt ist seine Skulptur ""Die Kniende"". Seine Arbeiten mußten 1933 aus Museen und Kirchen entfernt werden. Zudem schrieb er Prosa und Schauspiele, die den Kampf zwischen den Mächten des Lebens, zwischen Gut und Böse, Seele und Gott in bilderreicher Sprache darstellten.";;01-01-23;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-23
379;Essener Straße;8061;Rheinau;U,64/65;Rohrhofer Straße;Holländerstraße;;;"Taufbezirk nach niederrheinischen Industrie- und Handelsplätzen. Die Städte erinnern an die regen Wirtschaftsbeziehungen mit Mannheim.
Essen, kreisfreie Stadt im Regierungsbezirk Düsseldorf, Nordrhein-Westfalen, im Ruhrgebiet. Der Ursprung der Stadt liegt in einem adligen Frauenstift, das im 9. Jahrhundert gegründet wurde und um das im 11. Jahrhundert eine Ansiedlung von Kaufleuten entstand, welche im 13. Jahrhundert Stadtrecht erhielt. Das Stift wurde 1803 im Zuge des Reichsdeputationshauptschlusses säkularisiert und kam an Preußen. 
Der Name der Stadt geht auf das Frauenstift zurück und hat vermutlich die Bedeutung ""Gegend im Osten"". Essen war ein Zentrum der Kohleförderung und Eisenerzeugung.";Umbenennung im Zuge der Eingemeindung am 01.01.1913.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) / Atlanten 1-18 FB 62;Rheinstraße;Nein;
382;Eugen-Bolz-Straße;6701;Neckarau;Q,61;Feldbergstraße;Julius Leber Straße;;;"Taufbezirk nach Widerstandskämpfern.
Eugen Bolz (1881-1945), Politiker und Widerstandskämpfer. 
Der Zentrumspolitiker Bolz war Mitglied des württembergischen Landtages (1912-33) und Reichstages (1915-33). 1919 wurde er zum Württembergischem Justizminister und 1923 zum Innenminister ernannt. Als Anhänger der katholischen Soziallehre lehnte er den Nationalsozialismus offen ab. 1933 wurde er aus seinen Ämtern entfernt und mehrere Wochen in ein Konzentrationslager inhaftiert. Ende 1941 / Anfang 1942 bekam Eugen Bolz Kontakt  zu dem Widerstandskreis um Carl Friedrich Goerdeler. Nach den Umsturzplänen sollte Bolz ein Ministeramt übernehmen. Nach dem gescheiterten Attentatversuch vom 20.Juli 1944 wurde er zum Tode verurteilt und am 23. 01.1945 in Plötzensee hingerichtet.";;01-01-29;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-29
390;Fahrlachstraße;1905;Schwetzingervorstadt;P,63;Schlachthofstraße;Gottlieb Daimler Straße;;;Gewann;Im Stadtplan von 1924 als Fahrlachstraße ausgewiesen;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);Unterhellung;Nein;
399;Feudenheimer Straße;1265;Wohlgelegen;N,64;Theodor Kutzer Ufer;Am Aubuckel;;;;Auf dem Stadtplan von 1907 (Walter, Mannheim in Vergangenheit und Gegenwart). Straße führt nach Feudenheim.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
405;Flachsstraße;2475;Sandhofen;G,60;Leinenstraße;Webereistraße;;;Auf dem Gelände der ehemaligen Jutekolonie der Süddeutschen Juteindustrie in Sandhofen.;Die Häuser der ehemaligen Juteindustrie waren durchnummeriert, erst 1966 wurde Straßenbenennungen eingeführt.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
410;Föhrenhof;3765;Gartenstadt;G,63;Am Herrschaftswald;[Sackgasse];;;Taufbezirk mit Baumnamen;"Am Rande zum Käfertaler Wald
Im Adressbuch von 1941/42 als Baugelände deklariert, nicht im Adressbuch von 1929.";;;Straßennamenkartei FB 62;;Nein;
421;Franz-Grashof-Straße;7501;Neckarau;Q,64;Floßwörthstraße;[Wendekreis];;;"Prof. Franz Grashof (1826-1893), Ingenieur. 
Grashof gehörte zu den Mitbegründern des wissenschaftlichen Maschinenbaus in Deutschland. Er war Mitbegründer und erster Direktor des Vereins Deutscher Ingenieure (VDI). Die Grashof-Gedenkmünze wird jährlich vom VDI an verdiente Vertreter der wissenschaftlichen Technik verliehen.";;01-01-04;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-04
422;Franzosenstraße;705;Industriehafen;K,60/61;Hombuschstraße;[Sackgasse];;;Während des Befreiungskriegs gegen Napoleon (1813-1815) überquerte das verbündete russische Korps unter der Führung von General von Osten-Sacken am 01.01.1814 im heutigen Gebiet des Industriehafens den Rhein und eroberte die französische Schanze am linken Rheinufer.;Im Adressbuch von 1929 nachweisbar, nicht auf dem Stadtplan von 1919.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Ja;
430;Freiberger Ring;5725;Vogelstang;K/L,66;Sachsenstraße;Sachsenstraße;;;"Taufbezirk nach ostdeutschen Städten der ehemaligen DDR.
Freiberg, Kreisstadt im Regierungsbezirk Chemnitz, Sachsen, am östlichen Erzgebirge. Freiberg entstand unter dem Meißner Markgraf Otto dem Reichen aus dem Waldhufendorf (Hufen= mittelalterl. Flächenmaß) Christiansdorf, als dort 1168 Silber gefunden wurde und zugewanderte Bergleute aus dem Harz eine Siedlung (""Sächsstadt"") aufbauten. Um 1180 schloß sich westlich davon eine Handwerker- und Kaufmannssiedlung an. Die aus beiden Siedlungen zusammengewachsene Altstadt wurde durch eine planmäßig angelegte Neustadt erweitert. Seit 1296 wurden das Stadtrecht und das erweiterte Bergrecht aufgezeichnet. Beide Rechtsakten machten Freiberg zur ersten freien Bergstadt im Heiligen Römischen Reich Deutscher Nation, daher leitet sich auch der Name der Stadt ab.";Ringstraße;01-01-30;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-30
453;Friedrichsring;1325;Innenstadt;N,62;Wasserturm;Kurpfalzbrücke;;;"Großherzog Friedrich I. von Baden (1826-1907).
Friedrich I., von 1852-1856 Regent und ab 1856 Großherzog, vertrat eine liberale Politik. Als Schwiegersohn des späteren Kaisers Wilhelm I. von Preußen wurde er entschiedener Vorkämpfer der nationalen Einigung der deutschen Einzelstaaten (""Deutsche Frage"") unter preußischer Führung. Im ""Deutschen Krieg"" von 1866 zwischen Ôsterreich und Preußen um die Vorherrschaft in Deutschland, kämpfte Baden gegen Preußen. Nach der Niederlage Ôsterreichs und seiner Bundesgenossen erfolgte eine enge Anlehnung seiner Politik an die Politik Bismarcks. Er war ein entschiedener Verfechter der Konstitutionellen Monarchie und durchaus bereit, in Baden richtungsweisende liberale Reformen durchzusetzen (u.a. Wahlrechtreform, Schulreform).";Auf dem Stadtplan von 1907 (Walter, Mannheim in Vergangenheit und Gegenwart) nachweisbar. Auf dem Stadtplan von 1875 unter Ringstraße eingetragen.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);Ringstraße;Nein;
